symbol	sgKDM5B_v_sgctrl.l2fc	sgKDM5B_v_sgctrl.padj
STRG.338	0.885007493793371	0.00171499036353163
STRG.339	0.860680892663302	0.00670747302172043
STRG.340	0.506356002892741	0.153576726313283
STRG.341	-0.327415956676898	0.776719471860743
STRG.342	1.19249425151911	9.65593087517057e-08
STRG.343	0.730608682046442	0.5683986448822
STRG.344	-0.297295553525699	0.146476102690018
STRG.345	-0.466784455163795	0.163617727169483
STRG.346	-0.296653057599807	0.244499897864084
STRG.347	0.228952071845411	0.513977339973892
STRG.348	0.314560631664887	0.284616932597973
STRG.349	0.171227868087371	0.545240302403029
STRG.350	0.215251308852582	0.617665065701122
STRG.351	-0.0646328118224636	0.898725883555299
STRG.352	-0.0519912300056641	0.899579227436265
STRG.353	-0.0761669044174587	0.87074099617701
STRG.354	-0.162770516068202	0.670752835405157
STRG.355	-0.139678248775295	0.651440211778779
STRG.356	-0.290071574167872	0.390463951159453
STRG.357	-0.847911620867778	0.0050876866408582
STRG.358	-0.231987286254959	0.562597065931617
STRG.359	-0.603538143231126	0.0563685980920752
STRG.360	-0.561789402410902	0.153050623681555
STRG.361	0.824329874637655	0.487037140323797
STRG.362	-0.3584768440807	0.32744157403084
STRG.363	-0.538835471960617	0.149216198374051
STRG.364	-0.59809170976786	0.126030573401965
STRG.365	-0.552848520899565	0.0842143570249793
STRG.366	-0.64308218791959	0.0817865112944138
STRG.367	-0.495030098094574	0.278251992655357
STRG.368	-0.779865138182007	0.0201005725355155
STRG.369	-0.664837944640151	0.0563417464489011
STRG.370	-0.732555550469631	0.0417592015131541
